Prenom;NOM;email;groupe;OU
Molly;May;molly.may@marvelle.fr;Direction;Utilisateurs
Michael;Lambert;michael.lambert@marvelle.fr;Direction;Utilisateurs
Julian;Gill;julian.gill@marvelle.fr;Direction;Utilisateurs
Kylie;Wright;kylie.wright@marvelle.fr;Direction;Utilisateurs
Robert;Ross;robert.ross@marvelle.fr;Direction;Utilisateurs
Brian;Hudson;brian.hudson@marvelle.fr;Direction;Utilisateurs
Lily;Davidson;lily.davidson@marvelle.fr;Direction;Utilisateurs
Fiona;Mathis;fiona.mathis@marvelle.fr;Direction;Utilisateurs
Andrew;Hudson;andrew.hudson@marvelle.fr;Direction;Utilisateurs
Boris;Gibson;boris.gibson@marvelle.fr;Direction;Utilisateurs
Felicity;Skinner;felicity.skinner@marvelle.fr;Compta;Utilisateurs
Jacob;Abraham;jacob.abraham@marvelle.fr;Compta;Utilisateurs
Jan;McDonald;jan.mcdonald@marvelle.fr;Compta;Utilisateurs
Jake;Harris;jake.harris@marvelle.fr;Compta;Utilisateurs
Steven;Vance;steven.vance@marvelle.fr;Compta;Utilisateurs
Angela;Underwood;angela.underwood@marvelle.fr;Compta;Utilisateurs
Alan;Smith;alan.smith@marvelle.fr;Compta;Utilisateurs
Bernadette;Alsop;bernadette.alsop@marvelle.fr;Compta;Utilisateurs
Matt;Peters;matt.peters@marvelle.fr;Compta;Utilisateurs
Jason;Taylor;jason.taylor@marvelle.fr;Juridique;Utilisateurs
Simon;MacDonald;simon.macdonald@marvelle.fr;Juridique;Utilisateurs
Megan;Paterson;megan.paterson@marvelle.fr;Juridique;Utilisateurs
Joshua;Morrison;joshua.morrison@marvelle.fr;Juridique;Utilisateurs
Simon;Robertson;simon.robertson@marvelle.fr;Juridique;Utilisateurs
Robert;Bower;robert.bower@marvelle.fr;Juridique;Utilisateurs
Boris;Johnston;boris.johnston@marvelle.fr;Juridique;Utilisateurs
Michael;Young;michael.young@marvelle.fr;Juridique;Utilisateurs
Emily;Fisher;emily.fisher@marvelle.fr;Juridique;Utilisateurs
Piers;McDonald;piers.mcdonald@marvelle.fr;Juridique;Utilisateurs
Brandon;Clarkson;brandon.clarkson@marvelle.fr;Juridique;Utilisateurs
Dominic;Clarkson;dominic.clarkson@marvelle.fr;Juridique;Utilisateurs
Dylan;Kerr;dylan.kerr@marvelle.fr;Juridique;Utilisateurs
Gavin;Gibson;gavin.gibson@marvelle.fr;Juridique;Utilisateurs
Molly;Blake;molly.blake@marvelle.fr;Juridique;Utilisateurs
Nicholas;Randall;nicholas.randall@marvelle.fr;SI;Utilisateurs
Sam;Wilkins;sam.wilkins@marvelle.fr;SI;Utilisateurs
Faith;MacLeod;faith.macleod@marvelle.fr;SI;Utilisateurs
Elizabeth;Carr;elizabeth.carr@marvelle.fr;SI;Utilisateurs
Sean;Cornish;sean.cornish@marvelle.fr;SI;Utilisateurs
Sean;Dowd;sean.dowd@marvelle.fr;SI;Utilisateurs
Simon;Carr;simon.carr@marvelle.fr;SI;Utilisateurs
Gordon;Allan;gordon.allan@marvelle.fr;SI;Utilisateurs
Penelope;Mackay;penelope.mackay@marvelle.fr;SI;Utilisateurs
